state_name,state_abbr,state_fips,agencies_reporting,incidents,stolen_value_usd,recovered_value_usd,percent_recovered,population_2024,national_rate_per_100k,national_value_per_capita_usd,incidents_per_100k,expected_incidents,stolen_value_per_capita_usd,z_score,surprise_p,surprise_score,surprise_display,z_value,value_surprise,direction
South Carolina,SC,45,65,609,7245696,827903,11.4,2035222,7.7418,2.31,29.923,157.6,3.56,35.965,0.0,30.0,5.997,0.111,0.333,higher_than_expected
South Dakota,SD,46,7,23,400864,61270,15.3,668662,7.7418,2.31,3.44,51.8,0.6,-3.998,6.378126898765046e-05,4.195,-2.0,-0.241,-0.491,lower_than_expected
Tennessee,TN,47,66,577,6747250,2355564,34.9,4357703,7.7418,2.31,13.241,337.4,1.55,13.047,0.0,30.0,3.612,-0.128,-0.358,higher_than_expected
Texas,TX,48,190,972,51852619,9591820,18.5,22551709,7.7418,2.31,4.31,1745.9,2.3,-18.523,0.0,30.0,-4.304,-0.039,-0.197,lower_than_expected
Utah,UT,49,12,15,546035,142031,26.0,3286949,7.7418,2.31,0.456,254.5,0.17,-15.012,0.0,30.0,-3.875,-0.292,-0.541,lower_than_expected
Vermont,VT,50,2,2,451,0,0.0,154693,7.7418,2.31,1.293,12.0,0.0,-2.883,0.003941140313242331,2.404,-1.698,-0.312,-0.558,lower_than_expected
Virginia,VA,51,36,216,3017038,547977,18.2,3136606,7.7418,2.31,6.886,242.8,0.96,-1.722,0.085089747230779,1.07,-1.312,-0.198,-0.445,lower_than_expected
Washington,WA,53,56,339,2145218,358667,16.7,5235382,7.7418,2.31,6.475,405.3,0.41,-3.294,0.0009874564719238865,3.005,-1.815,-0.263,-0.513,lower_than_expected
West Virginia,WV,54,36,93,354421,35817,10.1,601282,7.7418,2.31,15.467,46.6,0.59,6.808,9.876544027065393e-12,11.005,2.609,-0.242,-0.492,higher_than_expected
Wisconsin,WI,55,33,75,727713,82767,11.4,4379688,7.7418,2.31,1.712,339.1,0.17,-14.341,0.0,30.0,-3.787,-0.292,-0.541,lower_than_expected
Wyoming,WY,56,5,12,148297,1279,0.9,403303,7.7418,2.31,2.975,31.2,0.37,-3.44,0.0005809694198797288,3.236,-1.855,-0.268,-0.518,lower_than_expected
